Name: juniyasyos/siimut
Version: dev-main 2dce718
Licenses: MIT
Dependencies:

Name                                         Version   Licenses                                 
pestphp/pest-plugin-arch                     v3.1.1    MIT                                      
pestphp/pest-plugin-laravel                  v3.2.0    MIT                                      
pestphp/pest-plugin-mutate                   v3.0.5    MIT                                      
pestphp/pest-plugin-stressless               v3.1.0    MIT                                      
phar-io/manifest                             2.0.4     BSD-3-Clause                             
phar-io/version                              3.2.1     BSD-3-Clause                             
php-debugbar/php-debugbar                    v2.2.6    MIT                                      
phpdocumentor/reflection-common              2.2.0     MIT                                      
phpdocumentor/reflection-docblock            6.0.3     MIT                                      
phpdocumentor/type-resolver                  2.0.0     MIT                                      
phpoffice/phpspreadsheet                     1.30.4    MIT                                      
phpoption/phpoption                          1.9.5     Apache-2.0                               
phpseclib/phpseclib                          3.0.52    MIT                                      
phpstan/phpdoc-parser                        2.3.2     MIT                                      
phpstan/phpstan                              2.2.1     MIT                                      
phpunit/php-code-coverage                    11.0.12   BSD-3-Clause                             
phpunit/php-file-iterator                    5.1.1     BSD-3-Clause                             
phpunit/php-invoker                          5.0.1     BSD-3-Clause                             
phpunit/php-text-template                    4.0.1     BSD-3-Clause                             
phpunit/php-timer                            7.0.1     BSD-3-Clause                             
phpunit/phpunit                              11.5.50   BSD-3-Clause                             
pragmarx/google2fa                           v8.0.3    MIT                                      
psr/cache                                    3.0.0     MIT                                      
psr/clock                                    1.0.0     MIT                                      
psr/container                                2.0.2     MIT                                      
psr/event-dispatcher                         1.0.0     MIT                                      
psr/http-client                              1.0.3     MIT                                      
psr/http-factory                             1.1.0     MIT                                      
psr/http-message                             2.0       MIT                                      
psr/log                                      3.0.2     MIT                                      
psr/simple-cache                             3.0.0     MIT                                      
psy/psysh                                    v0.12.23  MIT                                      
pxlrbt/filament-excel                        v2.5.0    MIT                                      
ralouphie/getallheaders                      3.0.3     MIT                                      
ramsey/collection                            2.1.1     MIT                                      
ramsey/uuid                                  4.9.2     MIT                                      
rector/rector                                2.4.5     MIT                                      
resend/resend-laravel                        v0.16.1   MIT                                      
resend/resend-php                            v0.15.2   MIT                                      
rmsramos/activitylog                         v1.0.13   MIT                                      
ryangjchandler/blade-capture-directive       v1.1.1    MIT                                      
sebastian/cli-parser                         3.0.2     BSD-3-Clause                             
sebastian/code-unit                          3.0.3     BSD-3-Clause                             
sebastian/code-unit-reverse-lookup           4.0.1     BSD-3-Clause                             
sebastian/comparator                         6.3.3     BSD-3-Clause                             
sebastian/complexity                         4.0.1     BSD-3-Clause                             
sebastian/diff                               6.0.2     BSD-3-Clause                             
sebastian/environment                        7.2.1     BSD-3-Clause                             
sebastian/exporter                           6.3.2     BSD-3-Clause                             
sebastian/global-state                       7.0.2     BSD-3-Clause                             
sebastian/lines-of-code                      3.0.1     BSD-3-Clause                             
sebastian/object-enumerator                  6.0.1     BSD-3-Clause                             
sebastian/object-reflector                   4.0.1     BSD-3-Clause                             
sebastian/recursion-context                  6.0.3     BSD-3-Clause                             
sebastian/type                               5.1.3     BSD-3-Clause                             
sebastian/version                            5.0.2     BSD-3-Clause                             
socialiteproviders/google                    4.1.0     MIT                                      
socialiteproviders/manager                   4.9.2     MIT                                      
spatie/browsershot                           5.4.0     MIT                                      
spatie/color                                 1.8.0     MIT                                      
spatie/crawler                               8.5.0     MIT                                      
spatie/db-dumper                             3.8.3     MIT                                      
spatie/image                                 3.9.4     MIT                                      
spatie/image-optimizer                       1.8.1     MIT                                      
spatie/invade                                2.1.0     MIT                                      
spatie/laravel-activitylog                   4.12.3    MIT                                      
spatie/laravel-backup                        9.4.1     MIT                                      
spatie/laravel-medialibrary                  11.23.0   MIT                                      
spatie/laravel-package-tools                 1.93.1    MIT                                      
spatie/laravel-permission                    6.25.0    MIT                                      
spatie/laravel-settings                      3.9.0     MIT                                      
spatie/laravel-signal-aware-command          2.1.2     MIT                                      
spatie/laravel-sitemap                       7.4.0     MIT                                      
spatie/robots-txt                            2.5.4     MIT                                      
spatie/temporary-directory                   2.3.1     MIT                                      
staabm/side-effects-detector                 1.0.5     MIT                                      
stechstudio/filament-impersonate             3.16      MIT                                      
symfony/clock                                v8.1.0    MIT                                      
symfony/console                              v7.4.13   MIT                                      
symfony/css-selector                         v8.1.0    MIT                                      
symfony/deprecation-contracts                v3.7.0    MIT                                      
symfony/dom-crawler                          v8.1.0    MIT                                      
symfony/error-handler                        v7.4.8    MIT                                      
symfony/event-dispatcher                     v8.1.0    MIT                                      
symfony/event-dispatcher-contracts           v3.7.0    MIT                                      
symfony/filesystem                           v8.1.0    MIT                                      
symfony/finder                               v7.4.8    MIT                                      
symfony/html-sanitizer                       v7.4.13   MIT                                      
symfony/http-foundation                      v7.4.13   MIT                                      
symfony/http-kernel                          v7.4.13   MIT                                      
symfony/mailer                               v7.4.12   MIT                                      
symfony/mime                                 v7.4.13   MIT                                      
symfony/polyfill-ctype                       v1.37.0   MIT                                      
symfony/polyfill-intl-grapheme               v1.38.1   MIT                                      
symfony/polyfill-intl-idn                    v1.38.1   MIT                                      
symfony/polyfill-intl-normalizer             v1.38.0   MIT                                      
symfony/polyfill-mbstring                    v1.38.1   MIT                                      
symfony/polyfill-php80                       v1.37.0   MIT                                      
symfony/polyfill-php83                       v1.38.1   MIT                                      
symfony/polyfill-php84                       v1.38.1   MIT                                      
symfony/polyfill-php85                       v1.38.1   MIT                                      
symfony/polyfill-uuid                        v1.37.0   MIT                                      
symfony/process                              v7.4.13   MIT                                      
symfony/routing                              v7.4.13   MIT                                      
symfony/service-contracts                    v3.7.0    MIT                                      
symfony/string                               v8.1.0    MIT                                      
symfony/translation                          v8.1.0    MIT                                      
symfony/translation-contracts                v3.7.0    MIT                                      
symfony/uid                                  v7.4.9    MIT                                      
symfony/var-dumper                           v7.4.8    MIT                                      
symfony/yaml                                 v8.1.0    MIT                                      
ta-tikoma/phpunit-architecture-test          0.8.7     MIT                                      
theseer/tokenizer                            1.3.1     BSD-3-Clause                             
tijsverkoyen/css-to-inline-styles            v2.4.0    BSD-3-Clause                             
tomatophp/console-helpers                    v1.1.0    MIT                                      
tomatophp/filament-icons                     v1.1.5    MIT                                      
torgodly/html2media                          v1.1.5    MIT                                      
vlucas/phpdotenv                             v5.6.3    BSD-3-Clause                             
voku/portable-ascii                          2.1.1     MIT                                      
webmozart/assert                             2.4.0     MIT                                      
wikimedia/composer-merge-plugin              v2.1.0    MIT                                      
